sentence,yngve_score,frazier_score,dependency_distance_score
Abstract.,0,1,0
We give a unied account of boosting and logistic regression in which each learning problem is cast in terms of optimization of Bregman distances.,2,1.22,2
"The striking similarity of the two problems in this framework allows us to design and analyze algorithms for both simultaneously, and to easily adapt algorithms designed for one problem to the other.",3,0.9117647058823529,3
"For both problems, we give new algorithms and explain their potential advantages over existing methods.",2,0.6764705882352942,2
These algorithms are iterative and can be divided into two types based on whether the parameters are updated sequentially (one at a time) or in parallel (all at once).,3,1.0,3
"We also describe a parameterized family of algorithms that includes both a sequential- and a parallel-update algorithm as special cases, thus showing how the sequential and parallel approaches can themselves be unied.",4,0.9428571428571428,4
"For all of the algorithms, we give convergence proofs using a general formalization of the auxiliary-function proof technique.",2,0.825,2
"As one of our sequential-update algorithms is equivalent to AdaBoost, this provides the rst general proof of convergence for AdaBoost.",3,0.9545454545454546,3
"We show that all of our algorithms generalize easily to the multiclass case, and we contrast the new algorithms with the iterative scaling algorithm.",3,0.7115384615384616,3
We conclude with a few experimental results with synthetic data that highlight the behavior of the old and newly proposed algorithms in different settings.,2,0.84,3
We give a unied account of boosting and logistic regression in which we show that both learning problems can be cast in terms of optimization of Bregman distances.,2,1.1551724137931034,3
"In our framework, the two problems become very similar, the only real difference being in the choice of Bregman distance.",2,0.6521739130434783,2
"unnormalized relative entropy for boosting, and binary relative entropy for logistic regression.",3,0.75,2
The similarity of the two problems in our framework allows us to design and analyze algorithms for both simultaneously.,2,1.0,2
"We are now able to borrow methods from the maximumentropy literature for logistic regression and apply them to the exponential loss used by AdaBoost, especially convergence-proof techniques.",2,0.9310344827586207,3
"Conversely, we can now easily adapt boosting methods to the problem of minimizing the logistic loss used in logistic regression.",2,0.9772727272727273,2
The result is a family of new algorithms for both problems together with convergence proofs for the new algorithms as well as AdaBoost.,3,0.8125,2
"For both AdaBoost and logistic regression, we attempt to choose the parameters or weights associated with a given family of functions called features or, in the boosting literature, weak hypotheses.",3,0.7941176470588235,3
AdaBoost works by sequentially updating these parameters one by one.,2,1.0909090909090908,2
"That is, on each of a series of iterations, a single feature (weak hypothesis) is chosen and the parameter associated with that single feature is adjusted.",4,0.7580645161290323,3
"In contrast, methods for logistic regression, most notably iterative scaling (Darroch & Ratcliff, 1972; Della Pietra, Della Pietra, & Lafferty, 1997), update all parameters in parallel on each iteration.",5,0.7375,4
Our rst new algorithm is a method for optimizing the exponential loss using parallel updates.,2,0.84375,2
"It seems plausible that a parallel-update method will often converge faster than a sequential-update method, provided that the number of features is not so large as to make parallel updates infeasible.",2,1.0606060606060606,4
A few experiments described at the end of this paper suggest that this is the case.,2,0.9411764705882353,2
Our second algorithm is a parallel-update method for the logistic loss.,2,0.625,2
"Although parallelupdate algorithms are well known for this function, the updates that we derive are new.",3,1.0277777777777777,2
"Because of the unied treatment we give to the exponential and logistic loss functions, we are able to present and prove the convergence of the algorithms for these two losses simultaneously.",4,0.7878787878787878,3
The same is true for the other algorithms presented in this paper as well.,2,0.7666666666666667,2
We next describe and analyze sequential-update algorithms for the two loss functions.,2,0.5769230769230769,3
"For exponential loss, this algorithm is equivalent to the AdaBoost algorithm of Freund and Schapire (1997).",3,0.675,2
"By viewing the algorithm in our framework, we are able to prove that AdaBoost correctly converges to the minimum of the exponential loss function.",2,0.9615384615384616,2
This is a new result.,1,0.75,1
Although Kivinen and Warmuth (1999) and Mason et al.,2,1,2
"(1999) have given convergence proofs for AdaBoost, their proofs depend on assumptions about the given minimization problem which may not hold in all cases.",3,0.8392857142857143,2
Our proof holds in general without such assumptions.,2,0.8333333333333334,1
Our unied view leads directly to a sequential-update algorithm for logistic regression that is only a minor modication of AdaBoost and which is very similar to the algorithm proposed by Duffy and Helmbold (1999).,3,0.9054054054054054,3
"Like AdaBoost, this algorithm can be used in conjunction with any classication algorithm, usually called the weak learning algorithm, that can accept a distribution over examples and return a weak hypothesis with low error rate with respect to the distribution.",3,0.7954545454545454,3
"However, this new algorithm provably minimizes the logistic loss rather than the arguably less natural exponential loss used by AdaBoost.",3,0.6590909090909091,2
"A potentially important advantage of the new algorithm for logistic regression is that the weights that it places on examples are bounded in [0, 1].",2,0.8793103448275862,3
This suggests that it may be possible to use the new algorithm in a setting in which the boosting algorithm selects examples to present to the weak learning algorithm by ltering a stream of examples (such as a very large dataset).,3,0.9772727272727273,3
"As pointed out by Watanabe (1999) and Domingo and Watanabe (2000), this is not possible with AdaBoost since its weights may become extremely large.",4,0.85,3
They provide a modication of AdaBoost for this purpose in which the weights are truncated at 1.,2,1.1111111111111112,2
We speculate that our new algorithm may lead to a viable and mathematically cleaner alternative.,2,0.9375,3
We next describe a parameterized family of iterative algorithms that includes both parallel- and sequential-update algorithms as well as a whole range of algorithms between  these two extremes.,3,0.8333333333333334,3
The convergence proof that we give holds for this entire family of algorithms.,2,1.0,2
"Although most of this paper considers only the binary case in which there are just two possible labels associated with each example, it turns out that the multiclass case requires no additional work.",4,0.8857142857142857,2
"That is, all of the algorithms and convergence proofs that we give for the binary case turn out to be directly applicable to the multiclass case without modication.",3,0.8666666666666667,3
"For comparison, we also describe the generalized iterative scaling algorithm of Darroch and Ratcliff (1972).",2,0.868421052631579,2
"In rederiving this procedure in our setting, we are able to relax one of the main assumptions usually required by this algorithm.",3,0.9791666666666666,2
The paper is organized as follows.,1,1.1428571428571428,1
Section 2 describes the boosting and logistic regression models as they are usually formulated.,2,0.8666666666666667,3
"Section 3 gives background on optimization using Bregman distances, and Section 4 then describes how boosting and logistic regression can be cast within this framework.",3,0.7962962962962963,2
"Section 5 gives our parallel-update algorithms and proofs of their convergence, while Section 6 gives the sequential-update algorithms and convergence proofs.",3,0.5652173913043478,4
The parameterized family of iterative algorithms is described in Section 7.,2,1.0416666666666667,1
The extension to multiclass problems is given in Section 8.,2,0.8636363636363636,1
"In Section 9, we contrast our methods with the iterative scaling algorithm.",2,0.6071428571428571,2
"In Section 10, we discuss various notions of convergence of AdaBoost and relate our results to previous work on boosting.",3,0.9545454545454546,2
"In Section 11, we give some initial experiments that demonstrate the qualitative behavior of the various algorithms in different settings.",2,0.9090909090909091,2
"Variants of our sequential-update algorithms t into the general family of arcing algorithms presented by Breiman (1999, 1997a), as well as Mason et al.s AnyBoost family of algorithms (Mason et al., 1999).",3,0.8414634146341463,5
"The information-geometric view that we take also shows that some of the algorithms we study, including AdaBoost, t into a family of algorithms described in 1967 by Bregman (1967), and elaborated upon by Censor and Lent (1981), for satisfying a set of constraints.1  Our work is based directly on the general setting of Lafferty, Della Pietra, and Della Pietra (1997) in which one attempts to solve optimization problems based on general Bregman distances.",4,0.9425287356321839,3
They gave a method for deriving and analyzing parallel-update algorithms in this setting through the use of auxiliary functions.,2,0.95,3
All of our algorithms and convergence proofs are based on this method.,2,0.8846153846153846,2
Our work builds on several previous papers which have compared boosting approaches to logistic regression.,2,1.09375,2
"Friedman, Hastie, and Tibshirani (2000) rst noted the similarity between the boosting and logistic regression loss functions, and derived the sequential-update algorithm LogitBoost for the logistic loss.",4,0.5303030303030303,4
"However, unlike our algorithm, theirs requires that the weak learner solve least-squares problems rather than classication problems.",3,0.75,3
Duffy and Helmbold (1999) gave conditions under which a loss function gives a boosting algorithm.,2,0.8888888888888888,2
They showed that minimizing logistic loss does lead to a boosting algorithm in the PAC sense.,2,0.7941176470588235,2
"This suggests that the logistic loss algorithm of Section 6 of this paper, which is close to theirs, may turn out also to have the PAC boosting property.",3,1.032258064516129,4
We leave this as an open problem.,1,0.9375,2
Lafferty (1999) went further in studying the relationship between logistic regression and the exponential loss through the use of a family of Bregman distances.,2,0.9259259259259259,3
"However, the setting described in his paper apparently cannot be extended to precisely include the exponential loss.",2,0.85,3
The use of Bregman distances that we describe has important differences leading to a natural treatment of the exponential loss and a new view of logistic regression.,3,0.8571428571428571,2
"Our work builds heavily on that of Kivinen and Warmuth (1999) who, along with Lafferty, were the rst to make a connection between AdaBoost and information geometry.",2,0.953125,3
"They showed that the update used by AdaBoost is a form of entropy projection. However, the Bregman distance that they used differed slightly from the one that we have chosen (normalized relative entropy rather than unnormalized relative entropy) so that AdaBoosts t in this model was not quite complete; in particular, their convergence proof depended on an assumption that does not hold in general.2 Kivinen and Warmuth also described updates for general Bregman distances including, as one of their examples, the Bregman distance that we use to capture logistic regression.",2,1.0666666666666667,23
"Cesa-Bianchi, Krogh, and Warmuth (1994) describe an algorithm for a closely related problem to ours.",3,0.675,3
minimization of a relative entropy subject to linear constraints.,2,0,2
"In related work, Littlestone, Long, and Warmuth (1995) describe algorithms where convergence properties are analyzed through a method that is similar to the auxiliary function techniques.",2,0.953125,3
"A variety of work in the online learning literature, such as the work by Littlestone, Long, and Warmuth (1995) and the work by Kivinen and Warmuth (1997, 2001) on exponentiated gradient methods, also use Bregman divergences, and techniques that are related to the auxiliary function method.",6,0.8070175438596491,4
"Let S = (cid.4)(x1, y1), .",3,0.75,2
.,0,1,0
.,0,1,0
", (xm , ym )(cid.5) be a set of training examples where each instance xi belongs to a domain or instance space X , and each label yi  {1,+1}.",3,1.0384615384615385,3
"We assume that we are also given a set of real-valued functions on X , h1, .",2,1.0,3
.,0,1,0
.,0,1,0
", hn.",1,0,0
"Following convention in the Maximum-Entropy literature, we call these functions features; in the boosting literature, these would be called weak or base hypotheses.",4,0,3
f(xi ) = (cid.2) We study the problem of approximating the yi s using a linear combination of features.,3,1.12,1
"That is, we are interested in the problem of nding a vector of parameters   Rn such that  j h j (xi ) is a good approximation of yi .",3,0.8387096774193549,4
"Although minimization of the number of classication errors may be a worthwhile goal, in its most general form, the problem is intractable (see, for instance, Hoffgen & Simon, 1992).",4,0.7972972972972973,3
It is therefore often advantageous to instead minimize some other nonnegative loss function.,2,0.7857142857142857,2
AdaBoost is usually described as a procedure that works together with an oracle or subroutine called the weak learner.,2,0.975,2
"Briey, on each of a series of rounds, the weak learner picks one feature (weak hypothesis) h j .",3,0.7608695652173914,2
