sentence,yngve_score,frazier_score,dependency_distance_score
This paper describes an incremental parsing approach where parameters are estimated using a variant of the perceptron algorithm.,2,0.9736842105263158,2
A beam-search algorithm is used during both training and decoding phases of the method.,2,0.7666666666666667,2
"The perceptron approach was implemented with the same feature set as that of an existing generative model (Roark, 2001a), and experimental results show that it gives competitive performance to the generative model on parsing the Penn treebank.",4,0.7619047619047619,3
"We demonstrate that training a perceptron model to combine with the generative model during search provides a 2.1 percent F-measure improvement over the generative model alone, to 88.8 percent.",3,0.6774193548387096,5
"In statistical approaches to NLP problems such as tagging or parsing, it seems clear that the representation used as input to a learning algorithm is central to the accuracy of an approach.",3,0.8529411764705882,2
"In an ideal world, the designer of a parser or tagger would be free to choose any features which might be useful in discriminating good from bad structures, without concerns about how the features interact with the problems of training (parameter estimation) or decoding (search for the most plausible candidate under the model).",3,0.9416666666666667,3
"To this end, a number of recently proposed methods allow a model to incorporate arbitrary global features of candidate analyses or parses.",3,0.8958333333333334,3
"Examples of such techniques are Markov Random Fields (Ratnaparkhi et al., 1994; Abney, 1997; Della Pietra et al., 1997; Johnson et al., 1999), and boosting or perceptron approaches to reranking (Freund et al., 1998; Collins, 2000; Collins and Duffy, 2002).",5,0,7
"A drawback of these approaches is that in the general case, they can require exhaustive enumeration of the set of candidates for each input sentence in both the training and decoding phases1.",3,0.8823529411764706,4
"For example, Johnson et al.",1,1,1
(1999) and Riezler et al.,2,0,1
"(2002) use all parses generated by an LFG parser as input to an MRF approach  given the level of ambiguity in natural language, this set can presumably become extremely large.",4,0.8676470588235294,3
"Collins (2000) and Collins and Duffy (2002) rerank the top N parses from an existing generative parser, but this kind of approach  1Dynamic programming methods (Geman and Johnson, 2002; Lafferty et al., 2001) can sometimes be used for both training and decoding, but this requires fairly strong restrictions on the features in the model.",5,0.7651515151515151,4
presupposes that there is an existing baseline model with reasonable performance.,2,0.9166666666666666,2
"Many of these baseline models are themselves used with heuristic search techniques, so that the potential gain through the use of discriminative re-ranking techniques is further dependent on effective search.",2,0.78125,4
"This paper explores an alternative approach to parsing, based on the perceptron training algorithm introduced in Collins (2002).",2,0.75,2
