sentence,yngve_score,frazier_score,dependency_distance_score
"We describe an approach to speed-up inference with latent-variable PCFGs, which have been shown to be highly effective for natural language parsing.",2,1.0416666666666667,3
Our approach is based on a tensor formulation recently introduced for spectral estimation of latent-variable PCFGs coupled with a tensor decomposition algorithm well-known in the multilinear algebra literature.,2,0.7413793103448276,2
"We also describe an error bound for this approximation, which gives guarantees showing that if the underlying tensors are well approximated, then the probability distribution over trees will also be well approximated.",3,1.0714285714285714,4
Empirical evaluation on real-world natural language parsing data demonstrates a signicant speed-up at minimal cost for parsing performance.,2,0.6578947368421053,3
"Latent variable models have shown great success in various elds, including computational linguistics and machine learning.",2,0.6388888888888888,2
"In computational linguistics, for example, latent-variable models are widely used for natural language parsing using models called latent-variable PCFGs (L-PCFGs; [14]).",3,0.8620689655172413,4
"The mainstay for estimation of L-PCFGs has been the expectation-maximization algorithm [14, 16], though other algorithms, such as spectral algorithms, have been devised [5].",3,0.8484848484848485,4
A by-product of the spectral algorithm presented in [5] is a tensor formulation for computing the inside-outside probabilities of a L-PCFG.,2,0.875,3
"Tensor products (or matrix-vector products, in certain cases) are used as the basic operation for marginalization over the latent annotations of the L-PCFG.",3,0.7592592592592593,3
"The computational complexity with the tensor formulation (or with plain CKY, for that matter) is cubic in the number of latent states in the L-PCFG.",3,0.7758620689655172,3
This multiplicative factor can be prohibitive for a large number of hidden states; various heuristics are used in practice to avoid this problem [16].,3,0.7678571428571429,2
"In this paper, we show that tensor decomposition can be used to signicantly speed-up the parsing performance with L-PCFGs.",2,0.9285714285714286,3
Our approach is also provided with a theoretical guarantee.,2,0.75,1
"given the accuracy of the tensor decomposition, one can compute how accurate the approximate parser is.",3,0.8888888888888888,2
The rest of this paper is organized as follows.,2,1.1,1
"We give notation and background in 23, and then present the main approach in 4.",4,0,4
We describe experimental results in 5 and conclude in 6.,2,0.9545454545454546,3
This section gives a denition of the L-PCFG formalism used in this paper; we follow the denitions given in [5].,3,0,2
