sentence,yngve_score,frazier_score,dependency_distance_score
We describe the application of kernel methods to Natural Language Processing (NLP) problems.,3,0.59375,2
"In many NLP tasks the objects being modeled are strings, trees, graphs or other discrete structures which require some mechanism to convert them into feature vectors.",3,0.9137931034482759,2
"We describe kernels for various natural language structures, allowing rich, high dimensional representations of these structures.",3,0.7368421052631579,3
"We show how a kernel over trees can be applied to parsing using the voted perceptron algorithm, and we give experimental results on the ATIS corpus of parse trees.",3,0.8870967741935484,3
"Kernel methods have been widely used to extend the applicability of many well-known algorithms, such as the Perceptron [1], Support Vector Machines [6], or Principal Component Analysis [15].",5,0.6052631578947368,3
A key property of these algorithms is that the only operation they require is the evaluation of dot products between pairs of examples.,2,1.1041666666666667,2
This paper describes the application of kernel methods to Natural Language Processing (NLP) problems.,3,0.5588235294117647,2
In many NLP tasks the input domain cannot be neatly formulated as a sub.,2,0.65625,3
"Instead, the objects being modeled are strings, trees or other discrete structures set of which require some mechanism to convert them into feature vectors.",2,0.9814814814814815,2
"We describe kernels for various NLP structures, and show that they allow computationally feasible representations in very high dimensional feature spaces, for example a parse tree representation that tracks all subtrees.",3,0.8676470588235294,3
"We show how a tree kernel can be applied to parsing using the perceptron algorithm, giving experimental results on the ATIS corpus of parses.",2,1.0,3
"The kernels we describe are instances of Convolution Kernels, which were introduced by Haussler [10] and Watkins [16], and which involve a recursive calculation over the parts of a discrete structure.",4,0.9210526315789473,5
"Although we concentrate on NLP tasks in this paper, the kernels should also be useful in computational biology, which shares similar problems and structures.",3,0.9074074074074074,2
Figure 1 shows some typical structures from NLP tasks.,2,0.65,2
"Each structure involves an observed string (a sentence), and some hidden structure (an underlying state sequence or tree).",4,0.5625,4
Figure 1.,1,1,1
Three NLP tasks where a function is learned from a string to some hidden structure.,2,0.8125,2
"In (a), the hidden structure is a parse tree.",3,0.5769230769230769,2
"In (b), the hidden structure is an underlying sequence of states representing named entity boundaries (SP = Start person, CP = Continue person, SC = Start company, N= No entity).",4,0.7875,2
"In (c), the hidden states represent part-of-speech tags (N = noun, V = verb, P = preposition,).",3,0.75,4
the mapping from an input string to its hidden structure.,2,0,2
"We refer to tasks that involve trees as parsing problems, and tasks that involve hidden state sequences as tagging problems.",3,1.1136363636363635,3
In many of these problems ambiguity is the key issue.,2,0.8636363636363636,2
"although only one analysis is plausible, there may be very many possible analyses.",3,0.8,2
"A common way to deal with ambiguity is to use a stochastic grammar, for example a Probabilistic Context Free Grammar (PCFG) for parsing, or a Hidden Markov Model (HMM) for tagging.",4,0.8026315789473685,3
"Probabilities are attached to rules in the grammar  context-free rules in the case of PCFGs, state transition probabilities and state emission probabilities for HMMs.",3,0.7884615384615384,3
"Rule probabilities are typically estimated using maximum likelihood estimation, which gives simple relative frequency estimates.",2,0.9117647058823529,2
Competing analyses for the same sentence are ranked using these probabilities.,2,0.9166666666666666,1
See [3] for an introduction to these methods.,2,0.7727272727272727,2
This paper proposes an alternative to generative models such as PCFGs and HMMs.,2,0.6071428571428571,1
"Instead of identifying parameters with rules of the grammar, we show how kernels can be used to form representations that are sensitive to larger sub-structures of trees or state sequences.",2,1.140625,2
"The parameter estimation methods we describe are discriminative, optimizing a criterion that is directly related to error rate.",2,1.1,2
"While we use the parsing problem as a running example in this paper, kernels over NLP structures could be used in many ways.",3,0.84,2
"for example, in PCA over discrete structures, or in classication and regression problems.",3,0.78125,3
Structured objects such as parse trees are so prevalent in NLP that convolution kernels should have many applications.,2,0.9210526315789473,2
The previous section introduced PCFGs as a parsing method.,2,0.75,1
This approach essentially counts the relative number of occurences of a given rule in the training data and uses these counts to represent its learned knowledge.,3,0.8148148148148148,3
"PCFGs make some fairly strong independence assumptions, disregarding substantial amounts of structural information.",2,0.7666666666666667,3
"In particular, it does not appear reasonable to assume that the rules applied at level in the parse tree are unrelated to those applied at level  .",2,1.0357142857142858,3
As an alternative we attempt to capture considerably more structural information by considering all tree fragments that occur in a parse tree.,2,1.0,2
This allows us to capture higher order dependencies between grammar rules.,2,1.0,2
See gure 2 for an example.,1,0.9285714285714286,1
"As in a PCFG the new representation tracks the counts of single rules, but it is also sensitive to larger sub-trees.",4,0,2
Figure 2. a) An example tree.,1,1,2
b) The sub-trees of the NP covering the apple.,2,0,1
"The tree in (a) contains all of these sub-trees, and many others.",2,0.90625,3
"We dene a sub-tree to be any subgraph which includes more than one node, with the restriction that entire (not partial) rule productions must be included.",2,1.0333333333333334,4
"For example, the fragment [NP [D the ]] is excluded because it contains only part of the production NP  D N.  Note that will be huge (a given tree will have a number of subtrees that is exponential in its size).",3,0.9583333333333334,3
Because of this we would like design algorithms whose computational complexity does not depend on.,2,1.0625,2
Representations of this kind have been studied extensively by Bod [2].,2,1.0357142857142858,2
"However, the work in [2] involves training and decoding algorithms that depend computationally on the number of subtrees involved.The parameter estimation techniques described in [2] do not correspond to maximum-likelihood estimation or a discriminative criterion.",2,0.8902439024390244,2
see [11] for discussion.,2,1.0714285714285714,2
"The methods we propose show that the score for a parse can be calculated in polynomial time in spite of an exponentially large number of subtrees, and that efcient parameter estimation techniques exist which optimize discriminative criteria that have been well-studied theoretically.",3,1.0568181818181819,4
"Goodman [9] gives an ingenious conversion of the model in [2] to an equivalent PCFG whose number of rules is linear in the size of the training data, thus solving many of the computational issues.",3,0.9390243902439024,4
"An exact implementation of Bods parsing method is still infeasible, but Goodman gives an approximation that can be implemented efciently.",3,0.9772727272727273,2
"However, the method still suffers from the lack of justication of the parameter estimation techniques.",2,0.7941176470588235,2
The key to our efcient use of this high dimensional representation is the denition of an and appropriate kernel.,2,0.775,2
We begin by examining the inner product between two trees  to be  the set of nodes in trees  respectively.,3,1.125,3
We dene the indicator and 0 otherwise.,2,0.9375,2
It follows that .,1,1.125,1
The rst step to efcient computation of the inner product is the following property (which can be proved with some simple algebra).,2,0.84,2
"In training, a parameter is explicitly estimated for each sub-tree.",2,0.7916666666666666,3
"In searching for the best parse, Pre-terminals are nodes directly above words in the surface string, for example the N, V, and D  calculating the score for a parse in principle requires summing over an exponential number of derivations underlying a tree, and in practice is approximated using Monte-Carlo techniques.",4,0.9107142857142857,3
"To see that this recursive denition is correct, note that?",2,1.1666666666666667,2
simply counts the number .,1,0,1
