sentence,yngve_score,frazier_score,dependency_distance_score
This article considers approaches which rerank the output of an existing probabilistic parser.,2,1.0,2
"The base parser produces a set of candidate parses for each input sentence, with associated probabilities that define an initial ranking of these parses.",2,0.9423076923076923,2
"A second model then attempts to improve upon this initial ranking, using additional features of the tree as evidence.",2,0.9285714285714286,2
"The strength of our approach is that it allows a tree to be represented as an arbitrary set of features, without concerns about how these features interact or overlap and without the need to define a derivation or a generative model which takes these features into account.",3,1.0204081632653061,3
"We introduce a new method for the reranking task, based on the boosting approach to ranking problems described in Freund et al.",3,0.8958333333333334,2
(1998).,1,0,1
We apply the boosting method to parsing the Wall Street Journal treebank.,2,0.6923076923076923,2
"The method combined the log-likelihood under a baseline model (that of Collins [1999]) with evidence from an additional 500,000 features over parse trees that were not included in the original model.",3,0.8055555555555556,3
"The new model achieved 89.75% F-measure, a 13% relative decrease in Fmeasure error over the baseline models score of 88.2%.",3,0.76,2
The article also introduces a new algorithm for the boosting approach which takes advantage of the sparsity of the feature space in the parsing data.,2,0.9230769230769231,2
Experiments show significant efficiency gains for the new algorithm over the obvious implementation of the boosting approach.,2,0.6944444444444444,2
We argue that the method is an appealing alternativein terms of both simplicity and efficiencyto work on feature selection methods within log-linear (maximum-entropy) models.,2,0.7777777777777778,4
"Although the experiments in this article are on natural language parsing (NLP), the approach should be applicable to many other NLP problems which are naturally framed as ranking tasks, for example, speech recognition, machine translation, or natural language generation.",3,0.7553191489361702,3
Machine-learning approaches to natural language parsing have recently shown some success in complex domains such as news wire text.,2,0.725,2
"Many of these methods fall into the general category of history-based models, in which a parse tree is represented as a derivation (sequence of decisions) and the probability of the tree is then calculated as a product of decision probabilities.",3,0.875,3
"While these approaches have many advantages, it can be awkward to encode some constraints within this framework.",2,0.9210526315789473,2
"In the ideal case, the designer of a statistical parser would be able to easily add features to the model  that are believed to be useful in discriminating among candidate trees for a sentence.",2,1.0694444444444444,2
"In practice, however, adding new features to a generative or history-based model can be awkward.",3,0.6944444444444444,6
"The derivation in the model must be altered to take the new features into account, and this can be an intricate task.",4,0.7291666666666666,2
This article considers approaches which rerank the output of an existing probabilistic parser.,2,1.0,2
"The base parser produces a set of candidate parses for each input sentence, with associated probabilities that define an initial ranking of these parses.",2,0.9423076923076923,2
"A second model then attempts to improve upon this initial ranking, using additional features of the tree as evidence.",2,0.9285714285714286,2
"The strength of our approach is that it allows a tree to be represented as an arbitrary set of features, without concerns about how these features interact or overlap and without the need to define a derivation which takes these features into account.",3,1.0666666666666667,3
"We introduce a new method for the reranking task, based on the boosting approach to ranking problems described in Freund et al.",3,0.8958333333333334,2
(1998).,1,0,1
"The algorithm can be viewed as a feature selection method, optimizing a particular loss function (the exponential loss function) that has been studied in the boosting literature.",3,0.7258064516129032,3
"We applied the boosting method to parsing the Wall Street Journal (WSJ) treebank (Marcus, Santorini, and Marcinkiewicz 1993).",3,0.8,3
"The method combines the log-likelihood under a baseline model (that of Collins [1999]) with evidence from an additional 500,000 features over parse trees that were not included in the original model.",4,0.7777777777777778,3
The baseline model achieved 88.2% F-measure on this task.,2,0.6818181818181818,3
"The new model achieves 89.75% Fmeasure, a 13% relative decrease in F-measure error.",2,0.6764705882352942,2
"Although the experiments in this article are on natural language parsing, the approach should be applicable to many other natural language processing (NLP) problems which are naturally framed as ranking tasks, for example, speech recognition, machine translation, or natural language generation.",4,0.7040816326530612,4
"See Collins (2002a) for an application of the boosting approach to named entity recognition, and Walker, Rambow, and Rogati (2001) for the application of boosting techniques for ranking in the context of natural language generation.",3,0.9767441860465116,4
"The article also introduces a new, more efficient algorithm for the boosting approach which takes advantage of the sparse nature of the feature space in the parsing data.",2,0.8333333333333334,2
