sentence,yngve_score,frazier_score,dependency_distance_score,count,year
"Three Generative, Lexicalised Models for Statistical Parsing  In this paper we rst propose a new statistical parsing model, which is a generative model of lexicalised context-free grammar.",3.3333333333333335,0.8833333333333333,2.4242424242424243,30,1997
We then extend the model to include a probabilistic treatment of both subcategorisation and wh-movement.,2.3125,0.9375,2.4444444444444446,16,1997
"Results on Wall Street Journal text show that the parser performs at 88.1/87.5% constituent precision/recall, an average improvement of 2.3% over (Collins 96).",3.4193548387096775,0.7419354838709677,3.2580645161290325,31,1997
Generative models of syntax have been central in linguistics since they were introduced in (Chomsky 57).,2.3684210526315788,1.0,2.473684210526316,19,1997
"Each sentence-tree pair (S, T ) in a language has an associated top-down derivation consisting of a sequence of rule applications of a grammar.",3.074074074074074,0.8333333333333334,2.774193548387097,27,1997
"These models can be extended to be statistical by dening probability distributions at points of non-determinism in the derivations, thereby assigning a probability P(S, T ) to each (S, T ) pair.",3.2564102564102564,1.0,3.8974358974358974,39,1997
Probabilistic context free grammar (Booth and Thompson 73) was an early example of a statistical grammar.,3.1052631578947367,0.6578947368421053,2.473684210526316,19,1997
"A PCFG can be lexicalised by associating a headword with each non-terminal in a parse tree; thus far, (Magerman 95; Jelinek et al.",4.0,0.8571428571428571,3.466666666666667,28,1997
"94) and (Collins 96), which both make heavy use of lexical information, have reported the best statistical parsing performance on Wall Street Journal text.",4.0,0.7333333333333333,3.1666666666666665,30,1997
"Neither of these models is generative, instead they both estimate P(T | S) directly.",3.0526315789473686,0.868421052631579,2.3529411764705883,19,1997
This paper proposes three new parsing models.,2.125,0.5625,2.125,8,1997
Model 1 is essentially a generative version of the model described in (Collins 96).,2.2941176470588234,0.7941176470588235,2.2941176470588234,17,1997
"In Model 2, we extend the parser to make the complement/adjunct distinction by adding probabilities over subcategorisation frames for head-words.",2.590909090909091,0.9318181818181818,2.730769230769231,22,1997
"In Model 3 we give a probabilistic treatment of wh-movement, which  is derived from the analysis given in Generalized Phrase Structure Grammar (Gazdar et al.",2.4642857142857144,0.9642857142857143,2.870967741935484,28,1997
95).,1.0,0.3333333333333333,1.0,3,1997
The work makes two advances over previous models.,1.8888888888888888,0.8333333333333334,1.6666666666666667,9,1997
"First, Model 1 performs signicantly better than (Collins 96), and Models 2 and 3 give further improvements  our nal results are 88.1/87.5% constituent precision/recall, an average improvement of 2.3% over (Collins 96).",4.090909090909091,0.6590909090909091,4.111111111111111,44,1997
"Second, the parsers in (Collins 96) and (Magerman 95; Jelinek et al.",3.7777777777777777,0.8333333333333334,2.9444444444444446,18,1997
94) produce trees without information about whmovement or subcategorisation.,2.0,0.8636363636363636,1.8181818181818181,11,1997
Most NLP applications will need this information to extract predicateargument structure from parse trees.,2.3333333333333335,0.7,2.1333333333333333,15,1997
"In the remainder of this paper we describe the 3 models in section 2, discuss practical issues in section 3, give results in section 4, and give conclusions in section 5.",5.542857142857143,0.7857142857142857,3.2857142857142856,35,1997
"In general, a statistical parsing model denes the conditional probability, P(T | S), for each candidate parse tree T for a sentence S. The parser itself is an algorithm which searches for the tree, Tbest, that maximises P(T | S).",3.933333333333333,0.55,3.2083333333333335,30,1997
"A generative model uses the observation that maximising P(T, S) is equivalent to maximising P(T | S).",2.6,0.96,3.142857142857143,25,1997
"P(T, S) is then estimated by attaching probabilities to a top-down derivation of the tree.",2.55,1.0,2.6,20,1997
"In a PCFG, for a tree derived by n applications of context-free re-write rules LHSi  RHSi, 1  i  n.  Figure 1.",3.5,0.875,4.09375,24,1997
"A lexicalised parse tree, and a list of the rules it contains.",4.428571428571429,0.6785714285714286,2.2142857142857144,14,1997
For brevity we omit the POS tag associated with each word.,2.25,0.875,2.0,12,1997
"of one or more non-terminals; or lexical, where LHS is a part of speech tag and RHS is a word.",4.130434782608695,0.782608695652174,3.76,23,1997
A PCFG can be lexicalised2 by associating a word w and a part-of-speech (POS) tag t with each nonterminal X in the tree.,2.9615384615384617,0.8076923076923077,3.2666666666666666,26,1997
"Thus we write a nonterminal as X(x), where x = hw, ti, and X is a constituent label.",3.84,0.8,3.9130434782608696,25,1997
Each rule now has the form3.,2.0,0.7857142857142857,1.4285714285714286,7,1997
"H is the head-child of the phrase, which inherits the head-word h from its parent P .",2.3333333333333335,0.8888888888888888,2.9545454545454546,18,1997
"L1...Ln and R1...Rm are left and right modiers of H. Either n or m may be zero, and n = m = 0 for unary rules.",3.5625,0.9375,1.84375,32,1997
Figure 1 shows a tree which will be used as an example throughout this paper.,2.0,1.0625,2.3125,16,1997
"The addition of lexical heads leads to an enormous number of potential rules, making direct estimation of P(RHS | LHS) infeasible because of sparse data problems.",3.2580645161290325,0.9032258064516129,3.896551724137931,31,1997
"We decompose the generation of the RHS of a rule such as (3), given the LHS, into three steps  rst generating the head, then making the independence assumptions that the left and right modiers are generated by separate 0th-order markov processes4.",3.702127659574468,0.8297872340425532,5.9,47,1997
1.,0.5,1.25,0.5,2,1997
"Generate the head constituent label of the  phrase, with probability PH (H | P, h).",3.5,0.675,3.4761904761904763,20,1997
2.,0.5,1.25,0.5,2,1997
"Generate modiers to the right of the head with probability Qi=1..m+1 PR(Ri(ri) | P, h, H).",2.0714285714285716,1.0357142857142858,2.260869565217391,14,1997
"Rm+1(rm+1) is dened as ST OP  the ST OP symbol is added to the vocabulary of nonterminals, and the model stops generating right modiers when it is generated.",4.3428571428571425,0.9,3.21875,35,1997
2We nd lexical heads in Penn treebank data using rules which are similar to those used by (Magerman 95; Jelinek et al.,4.64,1.02,2.44,25,1997
94).,1.0,0.3333333333333333,1.0,3,1997
"3With the exception of the top rule in the tree, which  has the form TOP  H(h).",2.5238095238095237,0.9047619047619048,2.857142857142857,21,1997
"4An exception is the rst rule in the tree, TOP   H(h), which has probability PT OP (H, h|T OP )  3.",3.225806451612903,0.7741935483870968,3.6333333333333333,31,1997
"Generate modiers to the left of the head with probability Qi=1..n+1 PL(Li(li)|P, h, H), where Ln+1(ln+1) = ST OP .",2.0714285714285716,1.0357142857142858,2.5925925925925926,14,1997
"For example, the probability of the rule S(bought) -> NP(week) NP(Marks) VP(bought) would be estimated as  Ph(VP | S,bought)  Pl(NP(Marks) | S,VP,bought)  Pl(NP(week) | S,VP,bought)  Pl(STOP | S,VP,bought)   Pr(STOP | S,VP,bought)  We have made the 0th order markov assumptions  but in general the probabilities could be conditioned on any of the preceding modiers.",9.392523364485982,0.883177570093458,2.978494623655914,107,1997
"In fact, if the derivation order is xed to be depth-rst  that is, each modier recursively generates the sub-tree below it before the next modier is generated  then the model can also condition on any structure below the preceding modiers.",4.372093023255814,1.0,2.5714285714285716,43,1997
For the moment we exploit this by making the approximations  where distancel and distancer are functions of the surface string from the head word to the edge of the constituent (see gure 2).,2.8055555555555554,0.9166666666666666,3.4864864864864864,36,1997
"The distance measure is the same as in (Collins 96), a vector with the following 3 elements.",3.2857142857142856,0.5952380952380952,2.4761904761904763,21,1997
(1) is the string of zero length?,2.1,0.75,1.7,10,1997
(Allowing the model to learn a preference for rightbranching structures); (2) does the string contain a verb?,3.9565217391304346,1.065217391304348,3.608695652173913,23,1997
(Allowing the model to learn a preference for modication of the most recent verb).,4.235294117647059,1.0,3.176470588235294,17,1997
"(3) Does the string contain 0, 1, 2 or > 2 commas?",3.3529411764705883,0.6764705882352942,2.3529411764705883,17,1997
"(where a comma is anything tagged as , or .).",2.75,1.1666666666666667,2.235294117647059,12,1997
Figure 2.,1.0,1.0,1.0,3,1997
"The next child, R3(r3), is generated with probability P(R3(r3) | P, H, h, distancer(2)).",4.21875,0.828125,3.5416666666666665,32,1997
"The distance is a function of the surface string from the word after h to the last word of R2, inclusive.",4.130434782608695,0.8478260869565217,3.0434782608695654,23,1997
"In principle the model could condition on any structure dominated by H, R1 or R2.",2.4705882352941178,0.7941176470588235,2.0,17,1997
The tree in gure 1 is an example of the importance of the complement/adjunct distinction.,2.3125,0.84375,2.2777777777777777,16,1997
"It would be useful to identify Marks as a subject, and Last week as an adjunct (temporal modier), but this distinction is not made in the tree, as both NPs are in the same position5 (sisters to a VP under an S node).",3.9411764705882355,0.7843137254901961,3.3454545454545452,51,1997
From here on we will identify complements by attaching a -C sux to non-terminals  gure 3 gives an example tree.,3.4545454545454546,1.2727272727272727,3.3076923076923075,22,1997
Figure 3.,1.0,1.0,1.0,3,1997
A tree with the -C sux used to identify complements.,2.75,1.1666666666666667,2.923076923076923,12,1997
Marks and Brooks are in subject and object position respectively.,2.727272727272727,0.8636363636363636,2.533333333333333,11,1997
Last week is an adjunct.,1.6666666666666667,0.75,1.0,6,1997
"A post-processing stage could add this detail to the parser output, but we give two reasons for making the distinction while parsing.",3.6666666666666665,0.6458333333333334,2.730769230769231,24,1997
"First, identifying complements is complex enough to warrant a probabilistic treatment.",2.230769230769231,0.8461538461538461,2.3076923076923075,13,1997
"Lexical information is needed  5Except Marks is closer to the VP, but note that Marks is also the subject in Marks last week bought Brooks.",4.962962962962963,1.0555555555555556,3.3529411764705883,27,1997
" for example, knowledge that week is likely to be a temporal modier.",2.7857142857142856,1.0,2.7058823529411766,14,1997
Knowledge about subcategorisation preferences  for example that a verb takes exactly one subject  is also required.,2.764705882352941,1.2058823529411764,2.3157894736842106,17,1997
"These problems are not restricted to NPs, compare The spokeswoman said (SBAR that the asbestos was dangerous) vs. Bonds beat short-term investments (SBAR because the market is down), where an SBAR headed by that is a complement, but an SBAR headed by because is an adjunct.",6.111111111111111,0.9814814814814815,2.703125,54,1997
The second reason for making the complement/adjunct distinction while parsing is that it may help parsing accuracy.,2.7222222222222223,1.1111111111111112,3.05,18,1997
The assumption that complements are generated independently of each other often leads to incorrect parses  see gure 4 for further explanation.,3.1363636363636362,1.0,2.260869565217391,22,1997
Identifying Complements and Adjuncts in the Penn Treebank.,2.4444444444444446,0.4444444444444444,2.3333333333333335,9,1997
We add the -C sux to all non-terminals in training data which satisfy the following conditions.,2.3333333333333335,1.0,3.3333333333333335,18,1997
1.,0.5,1.25,0.5,2,1997
The non-terminal must be.,1.6,0.9,1.2857142857142858,5,1997
"(1) an NP, SBAR, or S whose parent is an S; (2) an NP, SBAR, S, or VP whose parent is a VP; or (3) an S whose parent is an SBAR.",5.478260869565218,0.6847826086956522,2.891304347826087,46,1997
2.,0.5,1.25,0.5,2,1997
The non-terminal must not have one of the following semantic tags.,2.1666666666666665,0.7083333333333334,2.142857142857143,12,1997
"ADV, VOC, BNF, DIR, EXT, LOC, MNR, TMP, CLR or PRP.",7.9,0.25,2.3,20,1997
See (Marcus et al.,2.0,0.6666666666666666,2.1666666666666665,6,1997
94) for an explanation of what these tags signify.,2.272727272727273,0.9545454545454546,2.4545454545454546,11,1997
"For example, the NP Last week in gure 1 would have the TMP (temporal) tag; and the SBAR in (SBAR because the market is down), would have the ADV (adverbial) tag.",4.658536585365853,0.7317073170731707,3.488888888888889,41,1997
