sentence,yngve_score,frazier_score,dependency_distance_score,count,year
Ranking Algorithms for NamedEntity Extraction.,1.6666666666666667,0.6666666666666666,2.25,6,2002
"Boosting and the Voted Perceptron  This paper describes algorithms which rerank the top N hypotheses from a maximum-entropy tagger, the application being the recovery of named-entity boundaries in a corpus of web data.",3.085714285714286,0.8714285714285714,3.3,35,2002
The rst approach uses a boosting algorithm for ranking problems.,2.272727272727273,0.6818181818181818,1.8181818181818181,11,2002
The second approach uses the voted perceptron algorithm.,2.3333333333333335,0.5,2.111111111111111,9,2002
"Both algorithms give comparable, signicant improvements over the maximum-entropy baseline.",2.4166666666666665,0.625,2.642857142857143,12,2002
"The voted perceptron algorithm can be considerably more efcient to train, at some cost in computation on test examples.",2.4285714285714284,0.9761904761904762,2.4761904761904763,21,2002
Recent work in statistical approaches to parsing and tagging has begun to consider methods which incorporate global features of candidate structures.,2.409090909090909,1.1136363636363635,2.1818181818181817,22,2002
Examples of such techniques are Markov Random Fields (Abney 1997; Della Pietra et al.,3.0588235294117645,0.9117647058823529,2.588235294117647,17,2002
1997; Johnson et al.,1.6666666666666667,0.8333333333333334,1.8333333333333333,6,2002
"1999), and boosting algorithms (Freund et al.",2.3636363636363638,0.7727272727272727,2.727272727272727,11,2002
1998; Collins 2000; Walker et al.,2.111111111111111,0.7777777777777778,2.888888888888889,9,2002
2001).,1.0,0.3333333333333333,1.0,3,2002
One appeal of these methods is their exibility in incorporating features into a model.,2.2666666666666666,1.0,1.9333333333333333,15,2002
essentially any features which might be useful in discriminating good from bad structures can be included.,2.764705882352941,1.1470588235294117,2.0588235294117645,17,2002
"A second appeal of these methods is that their training criterion is often discriminative, attempting to explicitly push the score or probability of the correct structure for each training sentence above the score of competing structures.",2.736842105263158,0.868421052631579,2.710526315789474,38,2002
This discriminative property is shared by the methods of (Johnson et al.,2.142857142857143,0.8928571428571429,2.142857142857143,14,2002
"1999; Collins 2000), and also the Conditional Random Field methods of (Lafferty et al.",3.8421052631578947,0.8947368421052632,3.1052631578947367,19,2002
2001).,1.0,0.3333333333333333,1.0,3,2002
