sentence,yngve_score,frazier_score,dependency_distance_score,count,year
 PARAMETER ESTIMATION FOR STATISTICAL PARSING MODELS.,1.8571428571428572,0.5714285714285714,1.75,7,2005
THEORY AND PRACTICE OF DISTRIBUTION-FREE METHODS  A fundamental problem in statistical parsing is the choice of criteria and algorithms used to estimate the parameters in a model.,2.607142857142857,0.9642857142857143,2.129032258064516,28,2005
The predominant approach in computational linguistics has been to use a parametric model with some variant of maximum-likelihood estimation.,2.5,0.85,2.3636363636363638,20,2005
The assumptions under which maximum-likelihood estimation is justied are arguably quite strong.,2.6153846153846154,1.0,2.6,13,2005
"This paper discusses the statistical theory underlying various parameter-estimation methods, and gives algorithms which depend on alternatives to (smoothed) maximumlikelihood estimation.",3.68,0.92,3.5925925925925926,25,2005
We rst give an overview of results from statistical learning theory.,2.25,0.875,1.9166666666666667,12,2005
"We then show how important concepts from the classication literature  specically, generalization results based on margins on training data  can be derived for parsing models.",2.740740740740741,1.0925925925925926,4.0,27,2005
"Finally, we describe parameter estimation algorithms which are motivated by these generalization bounds.",2.2666666666666666,0.9333333333333333,2.3333333333333335,15,2005
A fundamental problem in statistical parsing is the choice of criteria and algorithms used to estimate the parameters in a model.,2.5,0.8636363636363636,2.3181818181818183,22,2005
"The predominant approach in computational linguistics has been to use a parametric model with maximum-likelihood estimation, usually with some method for smoothing parameter estimates to deal with sparse data problems.",2.6875,0.875,3.1944444444444446,32,2005
"Methods falling into this category include Probabilistic Context-Free Grammars and Hidden Markov Models, Maximum Entropy models for tagging and parsing, and recent work on Markov Random Fields.",4.666666666666667,0.6166666666666667,3.21875,30,2005
"This paper discusses the statistical theory underlying various parameterestimation methods, and gives algorithms which depend on alternatives to  (smoothed) maximum-likelihood estimation.",3.68,0.92,3.5714285714285716,25,2005
"The assumptions under which maximum-likelihood estimation is justied are arguably quite strong  in particular, an assumption is made that the structure of the statistical process generating the data is known (for example, maximumlikelihood estimation for PCFGs is justied providing that the data was actually generated by a PCFG).",3.7358490566037736,0.9716981132075472,3.9310344827586206,53,2005
"In contrast, work in computational learning theory has concentrated on models with the weaker assumption that training and test examples are generated from the same distribution, but that the form of the distribution is unknown.",3.5789473684210527,0.8289473684210527,3.9473684210526314,38,2005
in this sense the results hold across all distributions and are called distribution-free.,2.7142857142857144,0.9285714285714286,2.7777777777777777,14,2005
"The result of this work  which goes back to results in statistical learning theory by Vapnik (1998) and colleagues, and to work within Valiants PAC model of learning (Valiant, 1984)  has been the development of algorithms and theory which provide radical alternatives to parametric maximum-likelihood methods.",4.264150943396227,0.9622641509433962,4.0344827586206895,53,2005
"These algorithms are appealing in both theoretical terms, and in their impressive results in many experimental studies.",3.210526315789474,0.6052631578947368,3.0,19,2005
"In the rst part of this paper (sections 2 and 3) we describe linear models for parsing, and give an example of how the usual maximum-likelihood estimates for PCFGs can be sub-optimal.",4.166666666666667,0.8055555555555556,3.425,36,2005
"Sections 4, 5 and 6 describe the basic framework under which we will analyse parameter estimation methods.",2.8947368421052633,0.8947368421052632,3.0526315789473686,19,2005
