sentence,yngve_score,frazier_score,dependency_distance_score,count,year
Head-Driven Statistical Models for Natural Language Parsing  Michael Collins MIT Computer Science and Articial Intelligence Laboratory  This article describes three statistical models for natural language parsing.,3.4814814814814814,0.6481481481481481,1.6129032258064515,27,2003
"The models extend methods from probabilistic context-free grammars to lexicalized grammars, leading to approaches in which a parse tree is represented as the sequence of decisions corresponding to a head-centered, top-down derivation of the tree.",2.8947368421052633,0.9078947368421053,3.25,38,2003
"Independence assumptions then lead to parameters that encode the X-bar schema, subcategorization, ordering of complements, placement of adjuncts, bigram lexical dependencies, wh-movement, and preferences for close attachment.",7.323529411764706,1.0147058823529411,2.9210526315789473,34,2003
All of these preferences are expressed by probabilities conditioned on lexical heads.,2.0,1.0384615384615385,1.8461538461538463,13,2003
"The models are evaluated on the Penn Wall Street Journal Treebank, showing that their accuracy is competitive with other models in the literature.",3.0,0.78,3.12,25,2003
"To gain a better understanding of the models, we also give results on different constituent types, as well as a breakdown of precision/recall results in recovering various types of dependencies.",4.090909090909091,0.803030303030303,2.7142857142857144,33,2003
"We analyze various characteristics of the models through experiments on parsing accuracy, by collecting frequencies of various structures in the treebank, and through linguistically motivated examples.",4.137931034482759,0.896551724137931,3.9310344827586206,29,2003
"Finally, we compare the models to others that have been applied to parsing the treebank, aiming to give some explanation of the difference in performance of the various models.",2.3125,1.09375,2.71875,32,2003
Ambiguity is a central problem in natural language parsing.,2.1,0.75,2.1,10,2003
Combinatorial effects mean that even relatively short sentences can receive a considerable number of parses under a wide-coverage grammar.,2.65,0.75,3.090909090909091,20,2003
"Statistical parsing approaches tackle the ambiguity problem by assigning a probability to each parse tree, thereby ranking competing trees in order of plausibility.",2.64,0.9,2.92,25,2003
"In many statistical models the probability for each candidate tree is calculated as a product of terms, each term corresponding to some substructure within the tree.",2.5714285714285716,0.8392857142857143,2.8214285714285716,28,2003
The choice of parameterization is essentially the choice of how to represent parse trees.,2.2,1.1333333333333333,2.066666666666667,15,2003
There are two critical questions regarding the parameterization of a parsing approach.,2.1538461538461537,0.8076923076923077,2.230769230769231,13,2003
1.,0.5,1.25,0.5,2,2003
"Which linguistic objects (e.g., context-free rules, parse moves) should the  models parameters be associated with?",3.05,1.125,2.875,20,2003
"In other words, which features should be used to discriminate among alternative parse trees?",2.4375,1.03125,2.625,16,2003
How can this choice be instantiated in a sound probabilistic model?,2.1666666666666665,0.6666666666666666,2.5,12,2003
"In this article we explore these issues within the framework of generative models, more precisely, the history-based models originally introduced to parsing by Black.",5.666666666666667,0.7037037037037037,2.9310344827586206,27,2003
"In a history-based model, a parse tree is represented as a sequence of decisions, the decisions being made in some derivation of the tree.",2.6296296296296298,0.7962962962962963,2.9655172413793105,27,2003
"Each decision has an associated probability, and the product of these probabilities denes a probability distribution over possible derivations.",3.1904761904761907,0.5714285714285714,2.5714285714285716,21,2003
We rst describe three parsing models based on this approach.,2.090909090909091,1.0,2.0,11,2003
The models were originally introduced in Collins (1997); the current article1 gives considerably more detail about the models and discusses them in greater depth.,3.4285714285714284,0.7142857142857143,2.7142857142857144,28,2003
In Model 1 we show one approach that extends methods from probabilistic context-free grammars (PCFGs) to lexicalized grammars.,2.7142857142857144,1.0,2.869565217391304,21,2003
"Most importantly, the model has parameters corresponding to dependencies between pairs of headwords.",2.2666666666666666,1.0333333333333334,1.8,15,2003
"We also show how to incorporate a distance measure into these models, by generalizing the model to a history-based approach.",2.8181818181818183,0.8863636363636364,3.576923076923077,22,2003
"The distance measure allows the model to learn a preference for close attachment, or right-branching structures.",3.611111111111111,0.7777777777777778,2.4,18,2003
"In Model 2, we extend the parser to make the complement/adjunct distinction, which will be important for most applications using the output from the parser.",2.6785714285714284,0.9285714285714286,2.6,28,2003
Model 2 is also extended to have parameters corresponding directly to probability distributions over subcategorization frames for headwords.,2.1052631578947367,1.105263157894737,2.210526315789474,19,2003
The new parameters lead to an improvement in accuracy.,2.1,0.85,1.6,10,2003
In Model 3 we give a probabilistic treatment of wh-movement that is loosely based on the analysis of wh-movement in generalized phrase structure grammar (GPSG) (Gazdar et al.,2.78125,0.984375,3.2777777777777777,32,2003
1985).,1.0,0.3333333333333333,1.0,3,2003
The output of the parser is now enhanced to show trace coindexations in wh-movement cases.,2.3125,0.9375,2.1666666666666665,16,2003
"The parameters in this model are interesting in that they correspond directly to the probability of propagating GPSG-style slash features through parse trees, potentially allowing the model to learn island constraints.",2.909090909090909,1.121212121212121,3.0285714285714285,33,2003
"In the three models a parse tree is represented as the sequence of decisions corresponding to a head-centered, top-down derivation of the tree.",2.76,0.74,3.0,25,2003
"Independence assumptions then follow naturally, leading to parameters that encode the X-bar schema, subcategorization, ordering of complements, placement of adjuncts, lexical dependencies, wh-movement, and preferences for close attachment.",4.055555555555555,1.0,2.5,36,2003
All of these preferences are expressed by probabilities conditioned on lexical heads.,2.0,1.0384615384615385,1.8461538461538463,13,2003
For this reason we refer to the models as head-driven statistical models.,2.3076923076923075,0.8076923076923077,2.2666666666666666,13,2003
"We describe evaluation of the three models on the Penn Wall Street Journal Treebank (Marcus, Santorini, and Marcinkiewicz 1993).",3.3333333333333335,0.6875,2.875,24,2003
"Model 1 achieves 87.7% constituent precision and 87.5% consituent recall on sentences of up to 100 words in length in section 23 of the treebank, and Models 2 and 3 give further improvements to 88.3% constituent precision and 88.0% constituent recall.",5.595744680851064,0.6808510638297872,3.6808510638297873,47,2003
These results are competitive with those of other models that have been applied to parsing the Penn Treebank.,2.1052631578947367,1.0789473684210527,2.263157894736842,19,2003
Models 2 and 3 produce trees with information about wh-movement or subcategorization.,2.3846153846153846,0.6923076923076923,2.466666666666667,13,2003
Many NLP applications will need this information to extract predicate-argument structure from parse trees.,2.3333333333333335,0.7,2.4705882352941178,15,2003
The rest of the article is structured as follows.,2.2,1.1,1.7,10,2003
Section 2 gives background material on probabilistic context-free grammars and describes how rules can be lexicalized through the addition of headwords to parse trees.,2.76,1.1,4.068965517241379,25,2003
Section 3 introduces the three probabilistic models.,2.125,0.5625,2.25,8,2003
Section 4 describes various renments to these models.,2.0,0.7222222222222222,2.0,9,2003
"Section 5 discusses issues of parameter estimation, the treatment of unknown words, and also the parsing algorithm.",3.95,0.725,3.3,20,2003
"Section 6 gives results evaluating the performance of the models on the Penn Wall Street Journal Treebank (Marcus, Santorini, and Marcinkiewicz 1993).",3.185185185185185,0.7222222222222222,2.740740740740741,27,2003
Section 7 investigates various aspects of the models in more detail.,2.0,0.875,1.9166666666666667,12,2003
"We give a  Head-Driven Statistical Models for NL Parsing  detailed analysis of the parsers performance on treebank data, including results on different constituent types.",3.4615384615384617,0.7115384615384616,3.0,26,2003
We also give a breakdown of precision and recall results in recovering various types of dependencies.,2.823529411764706,1.0,2.4705882352941178,17,2003
The intention is to give a better idea of the strengths and weaknesses of the parsing models.,2.4444444444444446,0.7777777777777778,2.3333333333333335,18,2003
"Section 7 goes on to discuss the distance features in the models, the implicit assumptions that the models make about the treebank annotation style, and the way that context-free rules in the original treebank are broken down, allowing the models to generalize by producing new rules on test data examples.",3.259259259259259,0.8425925925925926,3.482142857142857,54,2003
"We analyze these phenomena through experiments on parsing accuracy, by collecting frequencies of various structures in the treebank, and through linguistically motivated examples.",4.230769230769231,0.8846153846153846,3.769230769230769,26,2003
"Finally, section 8 gives more discussion, by comparing the models to others that have been applied to parsing the treebank.",2.347826086956522,1.0434782608695652,2.652173913043478,23,2003
We aim to give some explanation of the differences in performance among the various models.,2.4375,1.0,2.125,16,2003
Probabilistic context-free grammars are the starting point for the models in this article.,2.2857142857142856,0.75,2.0625,14,2003
"For this reason we briey recap the theory behind nonlexicalized PCFGs, before moving to the lexicalized case.",2.8421052631578947,0.7894736842105263,2.8421052631578947,19,2003
"Following Hopcroft and Ullman (1979), we dene a context-free grammar G as a 4-tuple (N, , A, R), where N is a set of nonterminal symbols,  is an alphabet, A is a distinguished start symbol in N, and R is a nite set of rules, in which each rule is of the form X   for some X  N,   (N  ) .",6.506666666666667,0.86,3.5,75,2003
The grammar denes a set of possible strings in the language and also denes a set of possible leftmost derivations under the grammar.,3.0833333333333335,0.8125,2.875,24,2003
Each derivation corresponds to a tree-sentence pair that is well formed under the grammar.,2.1333333333333333,1.0,2.588235294117647,15,2003
